Rank	Name	HRef	Year Published	Geek Rating	Average Rating	Number of Voters
117	Pandemic Iberia	/boardgame/198928/pandemic-iberia	2016	7.359	8.13	2619
118	Grand Austria Hotel	/boardgame/182874/grand-austria-hotel	2015	7.359	7.77	4764
119	Age of Empires III: The Age of Discovery	/boardgame/22545/age-empires-iii-age-discovery	2007	7.356	7.58	9017
120	Dungeon Petz	/boardgame/97207/dungeon-petz	2011	7.355	7.58	9150
121	Anachrony	/boardgame/185343/anachrony	2017	7.354	8.22	2440
122	BattleLore (Second Edition)	/boardgame/146439/battlelore-second-edition	2013	7.354	7.91	3815
123	Cyclades	/boardgame/54998/cyclades	2009	7.353	7.54	12831
124	Imperial	/boardgame/24181/imperial	2006	7.351	7.63	7316
125	Ra	/boardgame/12/ra	1999	7.349	7.47	15859
126	YINSH	/boardgame/7854/yinsh	2003	7.347	7.68	5609
127	Space Alert	/boardgame/38453/space-alert	2008	7.346	7.52	12241
128	Runewars	/boardgame/59294/runewars	2010	7.345	7.69	6653
129	Above and Below	/boardgame/172818/above-and-below	2015	7.335	7.65	6641
130	Carcassonne	/boardgame/822/carcassonne	2000	7.334	7.43	70809
131	Bora Bora	/boardgame/127060/bora-bora	2013	7.330	7.60	6839
132	Glory to Rome	/boardgame/19857/glory-rome	2005	7.328	7.50	11152
133	Mysterium	/boardgame/181304/mysterium	2015	7.328	7.50	14466
134	Targi	/boardgame/118048/targi	2012	7.320	7.61	6530
135	Sekigahara: The Unification of Japan	/boardgame/25021/sekigahara-unification-japan	2011	7.319	8.06	2521
136	Alien Frontiers	/boardgame/48726/alien-frontiers	2010	7.318	7.49	11734
137	Seasons	/boardgame/108745/seasons	2012	7.315	7.46	14756
138	Yokohama	/boardgame/196340/yokohama	2017	7.313	8.02	2654
139	Sushi Go Party!	/boardgame/192291/sushi-go-party	2016	7.312	7.67	5822
140	Isle of Skye: From Chieftain to King	/boardgame/176494/isle-skye-chieftain-king	2015	7.311	7.51	10153
141	Dead of Winter: The Long Night	/boardgame/193037/dead-winter-long-night	2016	7.310	8.01	3053
142	1960: The Making of the President	/boardgame/27708/1960-making-president	2007	7.310	7.58	7210
143	Navegador	/boardgame/66589/navegador	2010	7.308	7.59	6388
144	Dixit Odyssey	/boardgame/92828/dixit-odyssey	2011	7.308	7.52	10588
145	Power Grid Deluxe: Europe/North America	/boardgame/155873/power-grid-deluxe-europenorth-america	2014	7.306	8.12	2275
146	Fury of Dracula (third edition)	/boardgame/181279/fury-dracula-third-edition	2015	7.303	7.68	5490
147	The Resistance	/boardgame/41114/resistance	2009	7.302	7.41	27059
148	Magic: The Gathering	/boardgame/463/magic-gathering	1993	7.300	7.44	23980
149	Here I Stand	/boardgame/17392/here-i-stand	2006	7.298	7.94	2951
150	Sid Meier's Civilization: The Board Game	/boardgame/77130/sid-meiers-civilization-board-game	2010	7.295	7.50	11792
151	Champions of Midgard	/boardgame/172287/champions-midgard	2015	7.295	7.75	4457
152	Imperial 2030	/boardgame/54138/imperial-2030	2009	7.290	7.73	4234
153	1830: Railways & Robber Barons	/boardgame/421/1830-railways-robber-barons	1986	7.290	7.81	3484
154	Xia: Legends of a Drift System	/boardgame/82222/xia-legends-drift-system	2014	7.288	7.84	3857
155	Inis	/boardgame/155821/inis	2016	7.287	7.82	4034
156	Kingdom Death: Monster	/boardgame/55690/kingdom-death-monster	2015	7.285	8.85	2175
157	Agricola: All Creatures Big and Small	/boardgame/119890/agricola-all-creatures-big-and-small	2012	7.281	7.49	9548
158	Samurai	/boardgame/3/samurai	1998	7.277	7.44	12326
159	Dungeon Lords	/boardgame/45315/dungeon-lords	2009	7.269	7.45	11033
160	Die Macher	/boardgame/1/die-macher	1986	7.267	7.66	4565
161	Battle Line	/boardgame/760/battle-line	2000	7.264	7.42	12612
162	Small World	/boardgame/40692/small-world	2009	7.263	7.34	45495
163	Claustrophobia	/boardgame/36932/claustrophobia	2009	7.259	7.60	5793
164	Letters from Whitechapel	/boardgame/59959/letters-whitechapel	2011	7.256	7.48	9613
